country,year,inflation,tax,population,migration,GDP,unemployment
Norway,2022,5.8,"0,29924107",5457127,"27,998",105825.926,3.171
Pakistan,2020,10.7,"0,44009548",227196741,"-588,736",1376.512,6.55
Pakistan,2022,12.1,"0,44404213",235824862,"-165,988",1650.279,6.416
Peru,2020,1.8,"0,39076596",33304756,"79,456",6150.898,7.18
Peru,2022,7.9,"0,50750084",34049588,"-60,652",7158.773,3.661
Poland,2020,3.4,"0,43114802",37899070,-779,15792.61,3.16
Poland,2022,14.4,"0,49735148",36821749,"3,366,387",18342.676,2.602
Portugal,2020,-0.1,"0,39320457",10297081,"40,535",22224.555,6.8
Portugal,2022,8.1,"0,41435817",10409704,"9,999",24540.377,5.781
Puerto Rico,2020,-0.5,"0,37103212",3281557,"-7,408",32608.045,8.89
Puerto Rico,2022,5.9,"0,39597495",3221789,"16,702",36123.366,5.971
Romania,2020,2.6,"0,4320679",19265250,"-12,724",13021.962,5.03
Romania,2022,13.8,"0,44209869",19047009,"916,813",15821.133,5.436
Singapore,2020,-0.2,"0,2252378",5685807,"21,324",61274.006,4.1
Singapore,2022,6.1,"0,26308121",5637022,"26,998",82807.649,2.758
Slovenia,2020,-0.1,"0,40841347",2102419,"7,681",25617.868,4.97
Slovenia,2022,8.8,"0,32400583",2111986,"2,000",28526.621,4.18
South Africa,2020,3.3,"0,34026679",58801927,"30,852",5672.278,24.34
South Africa,2022,6.9,"0,33433194",59893885,"58,496",6684.479,29.806
Spain,2020,-0.3,"0,3672925",47365655,"208,791",26968.374,15.53
Spain,2022,8.3,"0,38064162",47778340,"39,998",29799.745,13.009
Sweden,2020,0.7,"0,28707743",10353442,"81,066",52706.294,8.29
Sweden,2022,8.1,"0,29220948",10486941,"39,998",56188.324,7.358
Switzerland,2020,-0.7,"0,24263578",8638167,"53,786",86109.53,4.82
Switzerland,2022,2.8,"0,23251753",8775760,"39,998",93657.234,4.202
Thailand,2020,-0.8,"0,36363693",71475664,"35,526",7169.877,1.1
Thailand,2022,6.1,"0,41449259",71697030,"18,999",7069.589,0.862
Uganda,2020,2.8,"0,36547549",44404611,"43,465",920.065,4.511
Ukraine,2020,2.7,"0,45064978",44132049,"-2,173",3780.075,9.48
Ukraine,2022,20.2,"0,32581036",38000000,"-6,673,580",4606.798,
Uruguay,2020,9.8,"0,32515366",3429086,"-1,486",15198.368,10.33
Uruguay,2022,9.1,"0,20609218",3422794,"-1,500",20022.144,7.841
