iso_code,location,total_cases,year
BRA,Brazil,22230737.0,2021
BRA,Brazil,36124337.0,2022
BRA,Brazil,37519960.0,2023
BRA,Brazil,37519960.0,2024
VGB,British Virgin Islands,93.0,2020
VGB,British Virgin Islands,3071.0,2021
VGB,British Virgin Islands,7305.0,2022
VGB,British Virgin Islands,7392.0,2023
VGB,British Virgin Islands,7392.0,2024
BRN,Brunei,152.0,2020
BRN,Brunei,15447.0,2021
BRN,Brunei,268615.0,2022
BRN,Brunei,330776.0,2023
BRN,Brunei,342802.0,2024
BGR,Bulgaria,197384.0,2020
BGR,Bulgaria,733882.0,2021
BGR,Bulgaria,1280617.0,2022
BGR,Bulgaria,1323578.0,2023
BGR,Bulgaria,,2024
BFA,Burkina Faso,6344.0,2020
BFA,Burkina Faso,17040.0,2021
BFA,Burkina Faso,22006.0,2022
BFA,Burkina Faso,22109.0,2023
BFA,Burkina Faso,22109.0,2024
BDI,Burundi,809.0,2020
BDI,Burundi,26999.0,2021
BDI,Burundi,52051.0,2022
BDI,Burundi,54455.0,2023
BDI,Burundi,54546.0,2024
KHM,Cambodia,364.0,2020
KHM,Cambodia,120449.0,2021
KHM,Cambodia,138495.0,2022
KHM,Cambodia,139014.0,2023
KHM,Cambodia,139085.0,2024
CMR,Cameroon,26277.0,2020
CMR,Cameroon,108676.0,2021
CMR,Cameroon,123993.0,2022
CMR,Cameroon,125137.0,2023
CMR,Cameroon,125137.0,2024
CAN,Canada,539241.0,2020
CAN,Canada,1961723.0,2021
CAN,Canada,4476385.0,2022
CAN,Canada,4760029.0,2023
CAN,Canada,,2024
CPV,Cape Verde,11698.0,2020
CPV,Cape Verde,39013.0,2021
CPV,Cape Verde,63190.0,2022
CPV,Cape Verde,64474.0,2023
CPV,Cape Verde,64474.0,2024
CYM,Cayman Islands,318.0,2020
CYM,Cayman Islands,8386.0,2021
CYM,Cayman Islands,31472.0,2022
CYM,Cayman Islands,31472.0,2023
CYM,Cayman Islands,31472.0,2024
CAF,Central African Republic,5814.0,2020
CAF,Central African Republic,12268.0,2021
CAF,Central African Republic,15360.0,2022
CAF,Central African Republic,15440.0,2023
CAF,Central African Republic,15440.0,2024
TCD,Chad,1986.0,2020
TCD,Chad,5701.0,2021
TCD,Chad,7649.0,2022
TCD,Chad,7698.0,2023
TCD,Chad,7698.0,2024
CHL,Chile,598394.0,2020
CHL,Chile,1799125.0,2021
CHL,Chile,5006159.0,2022
CHL,Chile,5332362.0,2023
CHL,Chile,5345008.0,2024
CHN,China,96324.0,2020
CHN,China,130858.0,2021
CHN,China,62445650.0,2022
CHN,China,99322727.0,2023
CHN,China,99329249.0,2024
COL,Colombia,1574707.0,2020
COL,Colombia,5118254.0,2021
COL,Colombia,6338339.0,2022
COL,Colombia,6386231.0,2023
COL,Colombia,6393550.0,2024
COM,Comoros,661.0,2020
COM,Comoros,5603.0,2021
COM,Comoros,8982.0,2022
COM,Comoros,9109.0,2023
COM,Comoros,9109.0,2024
COG,Congo,6389.0,2020
COG,Congo,20089.0,2021
COG,Congo,25063.0,2022
COG,Congo,25213.0,2023
COG,Congo,25213.0,2024
COK,Cook Islands,,2020
COK,Cook Islands,,2021
COK,Cook Islands,6625.0,2022
COK,Cook Islands,7203.0,2023
COK,Cook Islands,7203.0,2024
CRI,Costa Rica,164062.0,2020
CRI,Costa Rica,569523.0,2021
CRI,Costa Rica,1161687.0,2022
CRI,Costa Rica,1230653.0,2023
CRI,Costa Rica,1230653.0,2024
CIV,Cote d'Ivoire,22081.0,2020
CIV,Cote d'Ivoire,63847.0,2021
CIV,Cote d'Ivoire,87933.0,2022
CIV,Cote d'Ivoire,88384.0,2023
CIV,Cote d'Ivoire,88384.0,2024
HRV,Croatia,204312.0,2020
HRV,Croatia,693102.0,2021
HRV,Croatia,1261766.0,2022
HRV,Croatia,1309728.0,2023
HRV,Croatia,1309728.0,2024
CUB,Cuba,11038.0,2020
CUB,Cuba,964607.0,2021
CUB,Cuba,1111827.0,2022
CUB,Cuba,1115043.0,2023
CUB,Cuba,1115043.0,2024
CUW,Curacao,4051.0,2020
CUW,Curacao,18299.0,2021
CUW,Curacao,45707.0,2022
CUW,Curacao,45883.0,2023
CUW,Curacao,45883.0,2024
CYP,Cyprus,19392.0,2020
CYP,Cyprus,149848.0,2021
CYP,Cyprus,628509.0,2022
CYP,Cyprus,675109.0,2023
CYP,Cyprus,681110.0,2024
CZE,Czechia,675062.0,2020
CZE,Czechia,2486451.0,2021
CZE,Czechia,4577526.0,2022
CZE,Czechia,4746616.0,2023
CZE,Czechia,,2024
COD,Democratic Republic of Congo,16837.0,2020
COD,Democratic Republic of Congo,75044.0,2021
COD,Democratic Republic of Congo,95070.0,2022
COD,Democratic Republic of Congo,99338.0,2023
COD,Democratic Republic of Congo,99338.0,2024
DNK,Denmark,151167.0,2020
DNK,Denmark,697563.0,2021
DNK,Denmark,3381851.0,2022
DNK,Denmark,3432338.0,2023
DNK,Denmark,3433033.0,2024
DJI,Djibouti,5805.0,2020
DJI,Djibouti,13568.0,2021
DJI,Djibouti,15690.0,2022
DJI,Djibouti,15690.0,2023
DJI,Djibouti,15690.0,2024
DMA,Dominica,96.0,2020
DMA,Dominica,6559.0,2021
DMA,Dominica,15760.0,2022
DMA,Dominica,16038.0,2023
DMA,Dominica,16038.0,2024
DOM,Dominican Republic,165940.0,2020
DOM,Dominican Republic,413887.0,2021
DOM,Dominican Republic,658587.0,2022
DOM,Dominican Republic,661180.0,2023
DOM,Dominican Republic,661180.0,2024
ECU,Ecuador,209274.0,2020
ECU,Ecuador,541368.0,2021
ECU,Ecuador,1040463.0,2022
ECU,Ecuador,1062896.0,2023
ECU,Ecuador,1062896.0,2024
EGY,Egypt,131315.0,2020
EGY,Egypt,380520.0,2021
EGY,Egypt,515514.0,2022
EGY,Egypt,516023.0,2023
EGY,Egypt,516023.0,2024
SLV,El Salvador,44619.0,2020
SLV,El Salvador,121741.0,2021
SLV,El Salvador,201785.0,2022
SLV,El Salvador,201835.0,2023
SLV,El Salvador,201853.0,2024
OWID_ENG,England,,2020
OWID_ENG,England,,2021
OWID_ENG,England,,2022
